id,customer_id,type,nominal,balance,description,created_at,updated_at,unique_id,tgl_transaksi,kode_transaksi,type_transaksi,kategori_transaksi
54480602,6273,+,250233,262582,#260525 Deposit Saldo Rp 250.233 Melalui Bank BRI By Sistem,2023-09-07T16:43:08.000+08:00,2023-09-07T16:43:08.000+08:00,,07/09/2023,,,Deposit
54480601,26714,+,200745,446403,#260524 Deposit Saldo Rp 200.745 Melalui Bank BRI By Sistem,2023-09-07T16:43:08.000+08:00,2023-09-07T16:43:08.000+08:00,,07/09/2023,,,Deposit
54480563,1899,+,6300426,6301524,#260523 Deposit Saldo Rp 6.300.426 Melalui Bank BRI By Sistem,2023-09-07T16:38:08.000+08:00,2023-09-07T16:38:08.000+08:00,,07/09/2023,,,Deposit
54480520,2037,+,1000836,1320824,#260522 Deposit Saldo Rp 1.000.836 Melalui Bank BCA By Sistem,2023-09-07T16:34:11.000+08:00,2023-09-07T16:34:11.000+08:00,,07/09/2023,,,Deposit
54480517,20588,+,300616,557094,#260521 Deposit Saldo Rp 300.616 Melalui Bank BCA By Sistem,2023-09-07T16:34:04.000+08:00,2023-09-07T16:34:04.000+08:00,,07/09/2023,,,Deposit
54480469,19577,+,1000821,1556592,#260520 Deposit Saldo Rp 1.000.821 Melalui Bank BRI By Sistem,2023-09-07T16:28:10.000+08:00,2023-09-07T16:28:10.000+08:00,,07/09/2023,,,Deposit
54480468,2904,+,500684,915962,#260519 Deposit Saldo Rp 500.684 Melalui Bank BRI By Sistem,2023-09-07T16:28:10.000+08:00,2023-09-07T16:28:10.000+08:00,,07/09/2023,,,Deposit
54480382,21326,+,700320,1282332,#260517 Deposit Saldo Rp 700.320 Melalui Bank BNI By Sistem,2023-09-07T16:16:24.000+08:00,2023-09-07T16:16:24.000+08:00,,07/09/2023,,,Deposit
54480375,3062,+,2000891,2825833,#260518 Deposit Saldo Rp 2.000.891 Melalui Bank BCA By Sistem,2023-09-07T16:15:17.000+08:00,2023-09-07T16:15:17.000+08:00,,07/09/2023,,,Deposit
54480373,28608,+,344,344,Return Unique Code dari Invoice INV#39330,2023-09-07T16:15:16.000+08:00,2023-09-07T16:15:16.000+08:00,,07/09/2023,,,Refund
54480354,25101,+,1500655,2304573,#260515 Deposit Saldo Rp 1.500.655 Melalui Bank BRI By Sistem,2023-09-07T16:13:16.000+08:00,2023-09-07T16:13:16.000+08:00,,07/09/2023,,,Deposit
54480346,23621,+,500413,527730,#260514 Deposit Saldo Rp 500.413 Melalui Bank BCA By Sistem,2023-09-07T16:11:26.000+08:00,2023-09-07T16:11:26.000+08:00,,07/09/2023,,,Deposit
54480345,3,+,200898,5139263,#260516 Deposit Saldo Rp 200.898 Melalui Bank BCA By Sistem,2023-09-07T16:11:26.000+08:00,2023-09-07T16:11:26.000+08:00,,07/09/2023,,,Deposit
54480293,19990,+,1250668,2090592,#260513 Deposit Saldo Rp 1.250.668 Melalui Bank BRI By Sistem,2023-09-07T16:03:25.000+08:00,2023-09-07T16:03:25.000+08:00,,07/09/2023,,,Deposit
54480272,4417,+,800333,3037436,#260512 Deposit Saldo Rp 800.333 Melalui Bank BCA By Sistem,2023-09-07T16:00:13.000+08:00,2023-09-07T16:00:13.000+08:00,,07/09/2023,,,Deposit
54480240,1964,+,300714,499414,#260511 Deposit Saldo Rp 300.714 Melalui Bank BCA By Sistem,2023-09-07T15:52:47.000+08:00,2023-09-07T15:52:47.000+08:00,,07/09/2023,,,Deposit
54480219,4431,+,400258,515816,#260509 Deposit Saldo Rp 400.258 Melalui Bank Mandiri By Sistem,2023-09-07T15:49:06.000+08:00,2023-09-07T15:49:06.000+08:00,,07/09/2023,,,Deposit
54480215,20711,+,250579,263408,#260510 Deposit Saldo Rp 250.579 Melalui Bank BRI By Sistem,2023-09-07T15:48:37.000+08:00,2023-09-07T15:48:37.000+08:00,,07/09/2023,,,Deposit
